pair_speaker,from_ts,to_ts,words,is_present,window
ch07,497.873,500.873,shall i tell you why?,false,922
ch07,499.776,502.776,because what they do they,false,1584
ch07,509.767,512.767,so that stops them banging into them,false,2400
ch07,535.872,538.872,so i we do you know what we've not done yet?,false,2558
ch07,537.846,540.846,we gave a name to the lizard,false,1390
ch07,539.484,542.484,but we didn't give a name to the bat did we?,false,1740
ch07,545.0195,548.0195,let's call the name,false,1245
ch07,549.723,552.723,for 'bat',false,520
ch07,551.2330000000001,554.2330000000001,so give him can you think of a name that begins with 'b'?,false,2160
ch07,554.7475000000001,557.7475000000001,bo,false,273
ch07,555.1195,558.1195,<laugh>,false,471
ch07,556.6270000000001,559.6270000000001,box the bat,false,920
ch07,561.2835,564.2835,that's a bit of a silly name,false,1261
ch07,565.2695,568.2695,box the bat,false,575
ch07,566.4805,569.4805,what should we give the name to the lion?,false,1847
ch07,568.269,571.269,can you think of a name that begins with,false,1526
ch07,570.6165,573.6165,what well what letter does 'lion' start with?,false,2229
ch07,573.3245000000001,576.3245000000001,so can you think of a name beginning with 'l'?,false,1349
ch07,582.496,585.496,luck the lion,false,1448
ch07,625.3635,628.3635,<laugh>,false,775
ch07,626.6990000000001,629.6990000000001,so let's name the animals,false,1836
ch07,628.0075,631.0075,what have we got?,false,717
ch07,629.2125,632.2125,what's the name of the lizard?,false,1107
ch07,632.977,635.977,what's the name of the lizard?,false,860
ch07,637.0790000000001,640.0790000000001,mr,false,1074
ch07,639.293,642.293,what's the name of the bat?,false,1740
ch07,646.2115,649.2115,box the bat,false,725
ch07,647.8175,650.8175,and what's the name of what was the other animal?,false,2487
ch07,650.034,653.034,the lion,false,720
ch07,650.83,653.83,what's the name of the lion?,false,872
ch07,654.122,657.122,no darling,false,1010
ch07,655.237,658.237,what's the name of the lion?,false,948
ch07,658.8315,661.8315,lu,false,749
ch07,664.9175,667.9175,ooh,true,229
ch07,665.504,668.504,i can hear some,true,690
ch07,666.243,669.243,ha,true,788
ch07,680.6,683.6,<name>,true,310
ch07,693.263,696.263,what's this?,true,620
ch07,701.575,704.575,that's it you'd,true,596
ch07,702.279,705.279,yeah that's it,true,682
ch07,703.4335,706.4335,where where you were doing it the first time,true,1597
ch07,704.5935000000001,707.5935000000001,that's exactly,true,723
ch07,706.4335,709.4335,daddy's taught you to do that hasn't he on his violin?,true,2427
ch07,711.5225,714.5225,can i have a go?,true,869
ch07,720.607,723.607,doesn't make much of a noise does it?,true,1418
ch07,723.4535,726.4535,i think it's not turned on,true,1411
ch07,732.513,735.513,i don't know how this works,true,1140
ch07,737.1505,740.1505,right,true,295
ch07,738.582,741.582,let me teach you something about how you do the trumpet,true,2420
ch07,741.2045,744.2045,so you don't put your mouth all the way over it,true,2825
ch07,743.445,746.445,<noise>,true,740
ch07,744.607,747.607,you just go like this,true,862
ch07,746.2455,749.2455,you you know when you go can you go like this?,true,2415
ch07,747.868,750.868,<noise>,true,378
ch07,749.548,752.548,<noise>,true,310
ch07,757.24,760.24,<laugh>,true,1196
ch07,762.343,765.343,or just blow,true,920
ch07,763.381,766.381,maybe this is a blow one,true,954
ch07,764.383,767.383,yeah good,true,1050
ch07,765.363,768.363,blow realy hard,true,724
ch07,772.7455,775.7455,can i have a go?,true,721
ch07,774.5005,777.5005,is that hard?,true,589
ch07,775.558,778.558,can i have a go?,true,518
ch07,777.292,780.292,well how do i hold this then?,true,1240
ch07,784.78,787.78,<laugh>,true,692
ch07,787.4535,790.4535,you're better at it than me,true,1581
ch07,790.417,793.417,let me try,true,370
ch07,790.84,793.84,let me try,true,476
ch07,799.0070000000001,802.0070000000001,try and keep your lips really close together,true,1678
ch07,800.3805,803.3805,that's it,true,439
ch07,801.4955,804.4955,so the air doesn't escape around the edge,true,1591
ch07,812.4205000000001,815.4205000000001,you need a lot of puff,true,1071
ch07,814.6065,817.6065,have another go,true,637
ch07,818.8195000000001,821.8195000000001,so press one,true,935
ch07,819.5165000000001,822.5165000000001,one,true,349
ch07,820.2760000000001,823.2760000000001,these are called valves,true,1170
ch07,822.3215,825.3215,so press one valve at a time,true,2019
ch07,825.967,828.967,that's it,true,540
ch07,827.3795,830.3795,there you are,true,657
ch07,828.962,831.962,now you making different notes aren't you?,true,1482
ch07,835.5500000000001,838.5500000000001,oh,true,240
ch07,836.051,839.051,no,true,548
ch07,839.367,842.367,um,true,232
ch07,840.1305,843.1305,let's look at the other things first,true,1295
ch07,841.1375,844.1375,we turn this on?,true,719
ch07,859.5305000000001,862.5305000000001,let's keep trying <name>,true,1351
ch07,862.494,865.494,and also there's lots of percussion instruments here,true,2326
ch07,864.6765,867.6765,what is this darling?,true,1071
ch07,865.5875,868.5875,what do you call this?,true,513
ch07,871.2355,874.2355,is have you ever seen a violin this small?,true,2367
ch07,874.8965000000001,877.8965000000001,it's really small,true,881
ch07,876.432,879.432,who's it for do you think if it is so small?,true,2190
ch07,878.3465,881.3465,who would play such a small violin?,true,1639
ch07,887.3885,890.3885,can you sit down?,true,1021
ch07,891.0795,894.0795,did i,true,471
ch07,891.4055000000001,894.4055000000001,oh,true,149
ch07,891.6695,894.6695,hang on,true,379
ch07,892.117,895.117,let's pluck,true,516
ch07,893.3985,896.3985,so instead of using the bow,true,1503
ch07,895.272,898.272,why don't you get your finger,true,1278
ch07,896.6565,899.6565,oops,true,261
ch07,897.509,900.509,and pluck it,true,656
ch07,898.024,901.024,oops,true,274
ch07,898.857,901.857,that probably wasn't meant to happen,true,1392
ch07,900.862,903.862,pluck it,true,364
ch07,903.5260000000001,906.5260000000001,does that make a noise?,true,810
ch07,906.573,909.573,kind of,true,540
ch07,908.4245,911.4245,there must be a way to turn it on,true,1559
ch07,909.963,912.963,but i haven't worked it out,true,1492
ch07,913.418,916.418,that's an interesting noise isn't it?,true,1578
ch07,918.91,921.91,that sounds a bit like rain,true,1450
ch07,921.966,924.966,raindrops don't you think?,true,1150
ch07,941.0315,944.0315,try these,true,403
ch07,941.698,944.698,these are fantastic,true,930
ch07,942.6155,945.6155,these are easy,true,753
ch07,946.283,949.283,they are called,true,2620
ch07,948.2330000000001,951.2330000000001,i think they're called claves,true,1280
ch07,956.1700000000001,959.1700000000001,you bang them together exactly like you're doing to make a rhythm,true,2506
ch07,958.714,961.714,so let's say we have to do a rhythm in an orchestra,true,2542
ch07,960.917,963.917,you copy my rhythm,true,1040
ch07,961.8435000000001,964.8435000000001,listen,true,461
ch07,975.9655,978.9655,yeah well done,true,2085
ch07,979.7330000000001,982.7330000000001,haven't done these yet,true,892
ch07,980.2760000000001,983.2760000000001,quick,true,170
ch07,984.1165,987.1165,i really wanted to try that,true,1125
ch07,991.764,994.764,put it on your mouth darling,true,1404
ch07,1001.3595,1004.3595,okay,true,321
ch07,1016.457,1019.457,he really wants to learn the trumpet,true,1406
ch07,1018.759,1021.759,and to give it back darling,true,946
ch07,1175.1285,1178.1285,yeah,false,671
ch07,1177.686,1180.686,what was your favourite out of all those instruments?,false,2278
ch07,1185.945,1188.945,trumpet,false,980
ch07,1187.4750000000001,1190.4750000000001,i knew it would be trumpet,false,1700
ch07,1189.728,1192.728,why do you like the trumpet so much <name>?,false,1920
ch07,1195.9270000000001,1198.9270000000001,loud,false,450
ch07,1203.993,1206.993,yeah,false,526
ch07,1227.4075,1230.4075,can you do that?,false,695
ch07,1233.416,1236.416,i liked out of those instruments on the table,false,2352
ch07,1235.1235,1238.1235,you didn't have a go with them,false,1017
ch07,1236.742,1239.742,but i liked the castanets that you just go,false,2220
ch07,1238.5,1241.5,click click click,false,898
ch07,1239.573,1242.573,like shh,false,470
ch07,1240.611,1243.611,like crab claws,false,1150
ch07,1244.0395,1247.0395,where're you off to?,false,1109
ch07,1248.589,1251.589,can you come and be a crab claw with me?,false,1520
ch07,1259.403,1262.403,pretend to be crab claw,false,1032
ch07,1264.7385,1267.7385,no,false,371
ch07,1265.539,1268.539,i got to snap you,false,1230
ch07,1270.189,1273.189,no,false,260
ch07,1271.246,1274.246,i'm a bigger crab than you,false,1854
ch07,1272.6475,1275.6475,i got bigger claws,false,941
ch07,1273.248,1276.248,look,false,260
ch07,1281.904,1284.904,okay,false,288
ch07,1283.015,1286.015,what other instruments were on the table just now,false,1934
ch07,1284.277,1287.277,can you remember?,false,590
ch07,1294.2175,1297.2175,hmm,false,579
ch07,1295.138,1298.138,trumpet,false,1090
ch07,1297.954,1300.954,what was that thing that you tr,false,1240
ch07,1298.849,1301.849,keyboard,false,492
ch07,1299.9195,1302.9195,what was the try thing you were trying to bow?,false,1649
ch07,1306.5385,1309.5385,violin,false,789
ch07,1310.242,1313.242,sit down sweetie,false,1082
ch07,1314.2035,1317.2035,who plays violin?,false,907
ch07,1317.0735,1320.0735,daddy,false,1291
ch07,1340.099,1343.099,cool,true,628
ch07,1341.1085,1344.1085,what are all these things?,true,1391
ch07,1343.3675,1346.3675,can you remember what that does?,true,1117
ch07,1348.881,1351.881,sit down and i'll explain,true,1258
ch07,1350.0995,1353.0995,well i'll i'll give you a clue,true,1179
ch07,1351.4315,1354.4315000000001,but you have used one of these,true,1485
ch07,1353.7445,1356.7445,i'll tell you when you might get this out,true,1785
ch07,1357.252,1360.252,when it's your birthday,true,2140
ch07,1359.957,1362.957,what would i do with it?,true,996
ch07,1365.857,1368.857,what would you do with it darling?,true,1256
ch07,1370.448,1373.448,what would you put on the end here?,true,1742
ch07,1371.4270000000001,1374.4270000000001,look,true,182
ch07,1372.0295,1375.0295,put your hand over there,true,1023
ch07,1373.237,1376.237,put your hand over there,true,638
ch07,1373.866,1376.866,and i'll do this,true,620
ch07,1374.6665,1377.6665,and what do you feel?,true,931
ch07,1376.7955,1379.7955,air,true,367
ch07,1377.926,1380.926,so what would i put over the end of here?,true,1774
ch07,1380.2515,1383.2515,a balloon,true,983
ch07,1381.3980000000001,1384.3980000000001,it blows up balloons,true,1310
ch07,1386.638,1389.638,we haven't got anything on the table to blow up,true,1828
ch07,1388.2,1391.2,i'll tell you what put it in here,true,1256
ch07,1390.053,1393.053,put it in there,true,762
ch07,1391.2740000000001,1394.2740000000001,and let's see if air comes out at the end of,true,1680
ch07,1392.965,1395.965,what is this thing here?,true,1112
ch07,1396.3655,1399.3655,this is a funnel,true,1103
ch07,1397.842,1400.842,let me see if i can,true,766
ch07,1398.59,1401.59,oh,true,228
ch07,1398.968,1401.968,yeah,true,528
ch07,1399.9,1402.9,can you do it on my face?,true,872
ch07,1406.9835,1409.9835,right,true,149
ch07,1407.3635,1410.3635,i'll hold that,true,611
ch07,1411.7375,1414.7375,oh,true,171
ch07,1412.614,1415.614,that makes the air sound a lot longer,true,1582
ch07,1414.0945,1417.0945,what's this for?,true,907
ch07,1416.941,1419.941,whisking,true,756
ch07,1417.8565,1420.8565,what would we whisk with it?,true,1075
ch07,1420.038,1423.038,let's whisk something in here,true,1288
ch07,1421.4215,1424.4215,what can we whisk in the little cup?,true,1479
ch07,1422.832,1425.832,what might you whisk?,true,800
ch07,1429.061,1432.061,let's pretend we put something in there,true,1856
ch07,1430.601,1433.601,what should we put in there?,true,1208
ch07,1438.403,1441.403,i love torches,true,1060
ch07,1440.5385,1443.5385,does it turn on?,true,953
ch07,1443.1135,1446.1135,oh,true,489
ch07,1444.4245,1447.4245,let me try,true,769
ch07,1445.126,1448.126,could i try?,true,564
ch07,1447.8165000000001,1450.8165000000001,do you know what <name>?,true,999
ch07,1449.015,1452.015,why do you think it doesn't work?,true,1398
ch07,1451.4180000000001,1454.4180000000001,what does it need inside it to make it work?,true,2380
ch07,1454.114,1457.114,ba,true,210
ch07,1455.843,1458.843,bat,true,400
ch07,1460.9845,1463.9845,a battery doesn't it?,true,2185
ch07,1463.471,1466.471,things need batteries to work don't they,true,2472
ch07,1464.9225000000001,1467.9225000000001,and they do,true,431
ch07,1466.614,1469.614,should we have a look and see if there's a battery inside it?,true,2310
ch07,1469.419,1472.419,is there?,true,546
ch07,1477.4355,1480.4355,can i have a look?,true,821
ch07,1480.342,1483.342,can you see a battery?,true,1110
ch07,1490.767,1493.767,no,true,616
ch07,1491.1480000000001,1494.1480000000001,ooh,true,146
ch07,1491.386,1494.386,oops,true,330
ch07,1492.199,1495.199,don't let's not break this,true,1188
ch07,1493.752,1496.752,so there's no battery,true,1066
ch07,1500.1385,1503.1385,don't think it needs a battery,true,1253
ch07,1503.2605,1506.2605,don't know,true,543
ch07,1503.9975,1506.9975,try to pick something up,true,931
ch07,1512.642,1515.642,can you pick up can you pick up this handle?,true,2874
ch07,1519.2005,1522.2005,um,true,837
ch07,1521.1885,1524.1885,well i think we're just meant to play with these things on the table,true,2989
ch07,1528.9835,1531.9835,okay,true,419
ch07,1530.6525000000001,1533.6525000000001,well i'm going to pretend to break an egg into here,true,2919
ch07,1532.6905,1535.6905,do you remember how to break an egg?,true,1157
ch07,1547.3505,1550.3505,i'll be a crab with these,true,1139
ch07,1549.5015,1552.5015,can i,true,293
ch07,1555.3945,1558.3945,blow it,true,449
ch07,1556.099,1559.099,let me blow in your face,true,960
ch07,1556.8525,1559.8525,that you see what it,true,503
ch07,1558.2150000000001,1561.2150000000001,see if it feels like a windy day,true,1356
ch07,1562.8715,1565.8715,does it feel windy?,true,809
ch07,1566.9025000000001,1569.9025000000001,ooh,true,639
ch07,1567.848,1570.848,that's lovely,true,1252
ch07,1570.2195,1573.2195,i'll tell you what,true,775
ch07,1571.977,1574.977,should we take this on holiday next year when it's really hot?,true,2740
ch07,1575.328,1578.328,and if we're sitting by a swimmming pool and getting a bit hot,true,2218
ch07,1577.5165,1580.5165,i'll just go <name> do you want cooling down?,true,2159
ch07,1583.7875000000001,1586.7875000000001,oh,true,209
ch07,1584.191,1587.191,yeah,true,598
ch07,1585.002,1588.002,that's a good idea,true,1024
ch07,1591.7740000000001,1594.7740000000001,if it gets a bit sandy,true,1500
ch07,1609.702,1612.702,yeah put them in carefully,true,1308
ch07,1618.7025,1621.7025,no,false,633
ch07,1619.6135,1622.6135,torch didn't work,false,1189
ch07,1624.133,1627.133,what what do we need a torch for <name>?,false,2400
ch07,1638.897,1641.897,okay,false,806
ch07,1640.2855,1643.2855,well let's just talk about what we've just seen,false,1931
ch07,1642.5615,1645.5615,so what do we use a torch for?,false,2401
ch07,1644.373,1647.373,why do we need a torch?,false,960
ch07,1648.3735,1651.3735,yeah,false,1281
ch07,1650.2405,1653.2405,have we ever used a torch together?,false,1619
ch07,1652.267,1655.267,ah,false,328
ch07,1653.7450000000001,1656.7450000000001,i know when we,false,1196
ch07,1655.2945,1658.2945,yeah we,false,773
ch07,1661.9355,1664.9355,and we could see the way home couldn't we?,false,1709
ch07,1663.6490000000001,1666.6490000000001,and inside the tent,false,1140
ch07,1665.3765,1668.3765,so we could see our things,false,935
ch07,1666.33,1669.33,and we didn't trip over them,false,972
ch07,1668.037,1671.037,yeah,false,302
ch07,1671.287,1674.287,don't pi,false,456
ch07,1688.7605,1691.7605,<name> listen,false,1133
ch07,1690.261,1693.261,i would quite like a whisk like that,false,1868
ch07,1692.7365,1695.7365,do you think because do you know why?,false,1481
ch07,1694.8755,1697.8755,because we've only got a big whisk haven't we?,false,1957
ch07,1696.569,1699.569,we haven't got a really little one,false,1430
ch07,1704.596,1707.596,don't you think?,false,660
ch07,1706.979,1709.979,so can i have a can i ask you something?,false,2640
ch07,1710.253,1713.253,you know it's gonna be my birthday soon,false,2260
ch07,1713.0015,1716.0015,do you think you might be able to give me one for my birthday?,false,1983
ch07,1715.2875000000001,1718.2875000000001,yeah,false,417
ch07,1870.3975,1873.3975,you really liked it didn't you?,false,1393
ch07,1880.8035,1883.8035,ooh,true,565
ch07,1887.2440000000001,1890.2440000000001,what are these?,true,1130
ch07,1891.3015,1894.3015,do you know what they all are?,true,1111
ch07,1892.497,1895.497,see if you can name them,true,1030
ch07,1901.3775,1904.3775,this is actually something that's been cut in half,true,2863
ch07,1903.9015,1906.9015,and we've got one in our fruit bowl right now,true,2185
ch07,1909.53,1912.53,ki,true,360
ch07,1912.1075,1915.1075,kiwi,true,715
ch07,1914.3835000000001,1917.3835000000001,kiwi fruit,true,971
ch07,1918.9205,1921.9205,see if you can guess,true,989
ch07,1919.9070000000002,1922.9070000000002,and see if you can,true,968
ch07,1921.604,1924.604,mushroom,true,1952
ch07,1924.226,1927.226,carrots,true,970
ch07,1926.589,1929.589,lemon,true,1014
ch07,1931.964,1934.964,in our tin,true,858
ch07,1933.9585,1936.9585,right,true,453
ch07,1934.461,1937.461,oh,true,154
ch07,1934.6365,1937.6365,yeah,true,197
ch07,1935.047,1938.047,we do yeah,true,624
ch07,1935.79,1938.79,what's this?,true,490
ch07,1938.075,1941.075,what's that meant to be?,true,1076
ch07,1940.325,1943.325,hmm,true,494
ch07,1942.753,1945.753,it's not broccoli is it?,true,1308
ch07,1945.444,1948.444,what else is it?,true,670
ch07,1948.606,1951.606,oh,true,284
ch07,1949.459,1952.459,i know what it might be,true,1422
ch07,1953.308,1956.308,parsley,true,1030
ch07,1956.8155,1959.8155,do you know what parsley looks?,true,1257
ch07,1959.43,1962.43,no that's not cabbage darling,true,1446
ch07,1962.3225,1965.3225,we haven't had this for ages,true,1419
ch07,1963.7135,1966.7135,because you don't have these in summer,true,1363
ch07,1965.3315,1968.3315,you get this in autumn and winter,true,1783
ch07,1967.1680000000001,1970.1680000000001,and mummy loves them,true,968
ch07,1968.6670000000001,1971.6670000000001,and i make really nice soup out of them,true,2030
ch07,1972.1970000000001,1975.1970000000001,something and potato soups if you can remember what it is,true,2660
ch07,1977.012,1980.012,le le,true,1094
ch07,1978.0935,1981.0935,begins lee,true,1009
ch07,1978.906,1981.906,lee,true,358
ch07,1981.834,1984.834,leek,true,500
ch07,1991.1255,1994.1255,i don' t know,true,1467
ch07,1994.7785000000001,1997.7785000000001,no,true,209
ch07,1997.23,2000.23,which animal,true,1680
ch07,2009.2565,2012.2565,okay,true,377
ch07,2010.6745,2013.6745,well let's be patient and talk about these things here,true,2459
ch07,2012.872,2015.872,what animal eats this?,true,1340
ch07,2016.3665,2019.3665,bunnies,true,743
ch07,2017.2265,2020.2265,<noise>,true,775
ch07,2019.9975,2022.9975,<noise>,true,2845
ch07,2023.236,2026.236,and where do we see these?,true,1520
ch07,2025.5235,2028.5235,careful not too far in your mouth,true,1211
ch07,2027.009,2030.009,where did we see these?,true,970
ch07,2031.7105000000001,2034.7105000000001,mushrooms,true,475
ch07,2032.453,2035.453,where do we see mushrooms,true,1010
ch07,2033.762,2036.762,where do you see them growing?,true,1124
ch07,2035.6670000000001,2038.6670000000001,in woods,true,558
ch07,2036.3175,2039.3175,you do,true,743
ch07,2037.164,2040.164,that's right,true,950
ch07,2042.288,2045.288,when,true,500
ch07,2044.9325000000001,2047.9325000000001,did you?,true,971
ch07,2046.1665,2049.1665000000003,what in <name>?,true,1065
ch07,2048.5685,2051.5685,where?,true,641
ch07,2051.357,2054.357,on a log,true,738
ch07,2052.131,2055.131,where was the log?,true,810
ch07,2060.9705,2063.9705,ho,true,261
ch07,2063.0725,2066.0725,yeah yeah yeah,true,1761
ch07,2064.635,2067.635,i remember you pointing them out,true,1364
ch07,2066.0885,2069.0885,there were quite a lot of them weren't there?,true,1543
ch07,2074.669,2077.669,do you think we'd do that?,true,940
ch07,2076.266,2079.266,do you think we'd pick them and bring them home,true,1510
ch07,2077.3005,2080.3005,and eat them?,true,559
ch07,2078.578,2081.578,why not?,true,662
ch07,2082.6105000000002,2085.6105000000002,yeah,true,1311
ch07,2089.326,2092.326,they might do darling,true,1224
ch07,2090.684,2093.684,did you learn that from 'into the woods'?,true,1492
ch07,2093.379,2096.379,well you just know that do you?,true,1842
ch07,2095.204,2098.204,yeah,true,550
ch07,2096.197,2099.197,so we only ever eat mush,true,1376
ch07,2100.6620000000003,2103.6620000000003,no,true,150
ch07,2101.0465,2104.0465,let's talk about,true,619
ch07,2101.801,2104.801,what about this?,true,890
ch07,2102.831,2105.831,what's this little chap?,true,1040
ch07,2107.4185,2110.4185,have you ever eaten a lemon?,true,1403
ch07,2111.093,2114.093,no,true,322
ch07,2111.6785,2114.6785,would you know what,true,849
ch07,2113.6195000000002,2116.6195000000002,no i don't think anyone would like to eat a lemon like that,true,2615
ch07,2115.8675,2118.8675,just like that,true,583
ch07,2116.544,2119.544,why not?,true,730
ch07,2124.273,2127.273,makes you get like that <noise>,true,1494
ch07,2126.63,2129.63,but what i do like lemon,true,2058
ch07,2128.179,2131.179,i like lemon cake,true,1040
ch07,2129.5475,2132.5475,we like lemon cake don't we?,true,1375
ch07,2131.562,2134.562,we've had lemon cake before,true,1404
ch07,2133.396,2136.396,oh,true,132
ch07,2133.5125,2136.5125,yeah,true,101
ch07,2133.9005,2136.9005,i was just gonna say,true,675
ch07,2134.9185,2137.9185,what's mommy's favourite ice cream?,true,1361
ch07,2138.504,2141.504,i love lemon ice cream,true,2156
ch07,2141.494,2144.494,it's very refreshing,true,1320
ch07,2164.7285,2167.7285,yeah,false,209
ch07,2165.5815000000002,2168.5815000000002,while she goes and gets the other toy,false,1497
ch07,2168.4805,2171.4805,out of all those foods on the table,false,2217
ch07,2170.7580000000003,2173.7580000000003,what's your favourite one that you like eating?,false,1870
ch07,2184.524,2187.524,yeah,false,752
ch07,2187.096,2190.096,your favourite food that we just had on the table,false,2316
ch07,2188.7965,2191.7965,what was the favourite one?,false,1085
ch07,2190.1075,2193.1075,what do you eat quite a lot of?,false,1189
ch07,2192.81,2195.81,carrots,false,850
